ID,Deaths,Cause
1,Female,Heart Disease
2,Female,Heart Disease
3,Female,Heart Disease
4,Female,Heart Disease
5,Male,Heart Disease
6,Male,Heart Disease
7,Male,Heart Disease
8,Male,Heart Disease
9,Male,Heart Disease
